iter	AUC	Logloss
794	0.9801831471	0.1702899892
795	0.9801879095	0.1702779338
796	0.9801914997	0.1702683286
797	0.9801934363	0.1702634638
798	0.9801967421	0.1702485856
799	0.9801981285	0.170242717
800	0.9801987176	0.170241506
801	0.980201989	0.1702271798
802	0.9802032253	0.1702205973
803	0.9802090077	0.1702026081
804	0.9802109093	0.1701951267
805	0.9802134917	0.1701832534
806	0.9802161636	0.1701744944
807	0.9802191109	0.1701650094
808	0.9802216306	0.170157132
809	0.9802236544	0.1701488054
810	0.9802243574	0.1701453231
811	0.9802248514	0.1701419425
812	0.9802267837	0.1701320145
813	0.9802298454	0.1701244548
814	0.9802313067	0.1701138112
815	0.980234291	0.1701023052
816	0.9802364907	0.1700944042
817	0.9802388501	0.1700827995
818	0.9802402437	0.1700769163
819	0.9802408119	0.170074991
820	0.9802418794	0.1700720709
821	0.9802457728	0.1700577237
822	0.9802470119	0.1700541492
823	0.9802491084	0.1700484
824	0.9802533646	0.1700322754
825	0.9802554922	0.1700272733
826	0.9802596503	0.1700128886
827	0.9802621425	0.1700072508
828	0.9802633904	0.1700020861
829	0.9802652236	0.1699968624
830	0.9802683551	0.1699860975
831	0.9802706189	0.1699780261
832	0.9802729387	0.1699700643
833	0.9802746273	0.1699630554
834	0.980277514	0.1699551863
835	0.9802791986	0.1699482737
836	0.9802824963	0.1699368852
837	0.9802863207	0.1699238428
838	0.9802882368	0.1699167654
839	0.9802922682	0.1699044093
840	0.9802932995	0.1699010198
841	0.9802947236	0.1698952792
842	0.9802964548	0.1698895439
843	0.9802995321	0.1698770715
844	0.9803023136	0.1698632087
845	0.9803046744	0.1698491181
846	0.9803055632	0.1698447278
847	0.9803086522	0.1698325442
848	0.9803096204	0.169828164
849	0.9803111524	0.1698233818
850	0.9803145939	0.1698063639
851	0.9803161897	0.1698015306
852	0.9803180268	0.1697903639
853	0.9803187499	0.1697881459
854	0.9803234251	0.1697723751
855	0.980327506	0.1697580018
856	0.9803295777	0.1697475767
857	0.9803310921	0.1697375619
858	0.9803331181	0.1697260685
859	0.9803353018	0.1697161198
860	0.9803366529	0.1697095212
861	0.9803402251	0.1696979119
862	0.9803431773	0.1696880848
863	0.9803472824	0.1696792488
864	0.980349344	0.1696697587
865	0.9803535405	0.1696448261
866	0.9803546959	0.1696368283
867	0.9803570937	0.1696269432
868	0.9803587048	0.1696224656
869	0.9803610054	0.1696123943
870	0.9803636728	0.169601575
871	0.9803658019	0.1695889238
872	0.9803672546	0.1695838626
873	0.9803688175	0.1695755925
874	0.9803699956	0.1695713992
875	0.9803740538	0.1695614245
876	0.9803780865	0.1695476369
877	0.980380314	0.1695409337
878	0.9803841404	0.1695255702
879	0.9803859108	0.1695178977
